wavelength radiance
0 infty
0 infty
1.475334673367e+00 4.764895908112e-01
1.482142713568e+00 4.805216558985e-01
1.488950753769e+00 4.855946398660e-01
1.495758793970e+00 4.906676238335e-01
1.502566834171e+00 4.957406078009e-01
1.509374874372e+00 5.008135917684e-01
1.516182914573e+00 5.070112467097e-01
1.522990954774e+00 5.133405120842e-01
1.529798994975e+00 5.184134960517e-01
1.536607035176e+00 5.234864800191e-01
1.543415075377e+00 5.285594639866e-01
1.550223115578e+00 5.336324479541e-01
1.557031155779e+00 5.387054319215e-01
1.563839195980e+00 5.437784158890e-01
1.570647236181e+00 5.488513998564e-01
1.577455276382e+00 5.539243838239e-01
1.584263316583e+00 5.589973677913e-01
1.591071356784e+00 5.640703517588e-01
1.597879396985e+00 5.715242881072e-01
1.604687437186e+00 5.765972720747e-01
1.611495477387e+00 5.816702560421e-01
1.618303517588e+00 5.877721943049e-01
1.625111557789e+00 5.923366834171e-01
1.631919597990e+00 5.985403206509e-01
1.638727638191e+00 6.043431442929e-01
1.645535678392e+00 6.094161282603e-01
1.652343718593e+00 6.144891122278e-01
1.659151758794e+00 6.181143814310e-01
1.665959798995e+00 6.222541277818e-01
1.672767839196e+00 6.255683177794e-01
1.679575879397e+00 6.292952859536e-01
1.686383919598e+00 6.327111749222e-01
1.693191959799e+00 6.355587461115e-01
1.700000000000e+00 6.404761904762e-01
