wavelength radiance
0 infty
0 infty
2.085427135678e+00 2.819240899029e+03
2.097989949749e+00 2.770056068122e+03
2.110552763819e+00 2.730210538222e+03
2.123115577889e+00 2.691657645139e+03
2.135678391960e+00 2.648871366479e+03
2.148241206030e+00 2.599040217163e+03
2.160804020101e+00 2.556275482450e+03
2.173366834171e+00 2.513532291683e+03
2.185929648241e+00 2.490070933445e+03
2.198492462312e+00 2.428024366204e+03
2.211055276382e+00 2.378839535297e+03
2.223618090452e+00 2.352017321333e+03
2.236180904523e+00 2.311169997899e+03
2.248743718593e+00 2.269870251579e+03
2.261306532663e+00 2.235744639597e+03
2.273869346734e+00 2.212751862205e+03
2.286432160804e+00 2.225048069932e+03
2.298994974874e+00 2.240333500299e+03
2.311557788945e+00 2.228583431628e+03
2.324120603015e+00 2.222107321172e+03
2.336683417085e+00 2.221396370922e+03
2.349246231156e+00 2.224369435602e+03
2.361809045226e+00 2.203924229939e+03
2.374371859296e+00 2.221978057490e+03
2.386934673367e+00 2.230444828645e+03
2.399497487437e+00 2.268900773966e+03
2.412060301508e+00 2.308196933219e+03
2.424623115578e+00 2.369403286529e+03
2.437185929648e+00 2.493625684694e+03
2.449748743719e+00 2.784792127842e+03
2.462311557789e+00 2.921036048409e+03
2.474874371859e+00 3.168511367125e+03
2.487437185930e+00 3.111829242676e+03
2.500000000000e+00 2.919614147910e+03
