"PVWatts: Hourly PV Performance Data"
"Requested Location:","johannesburg south africa"
"Location:","HARARE, ZIMBABWE"
"Lat (deg S):","17.92"
"Long (deg E):","31.13"
"Elev (m):","1503"
"DC System Size (kW):","3"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","30"
"Array Azimuth (deg):","0"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","1.85"
"Initial Cost","40.00"
"Cost of Electricity Generated by System ($/kWh):","1.88"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","5","7","90","136","16.9","6.2","167.606","18.687","435.913","410.297"
"4","5","8","64","267","18.6","5.8","300.694","23.065","780.507","746.313"
"4","5","9","90","352","20.3","5.5","417.598","27.289","1065.021","1022.727"
"4","5","10","103","411","22","5.1","500.969","31.119","1255.213","1206.991"
"4","5","11","80","497","22.9","5.3","574.327","33.326","1423.774","1369.956"
"4","5","12","98","509","23.8","5.5","604.753","34.673","1489.324","1433.242"
"4","5","13","245","369","24.7","5.7","612.81","35.54","1502.422","1445.882"
"4","5","14","137","359","24.3","5.7","471.53","32.602","1171.798","1126.226"
"4","5","15","73","274","23.8","5.7","313.205","29.039","789.958","755.509"
"4","5","16","89","130","23.4","5.7","160.316","25.641","403.012","378.144"
"4","5","17","12","30","22.1","5.2","30.347","21.731","77.514","59.388"
"4","5","18","0","0","20.8","4.6","0","20.8","0","0"
"4","5","19","0","0","19.5","4.1","0","19.5","0","0"
"4","5","20","0","0","18.5","3.6","0","18.5","0","0"
"4","5","21","0","0","17.6","3.1","0","17.6","0","0"
"4","5","22","0","0","16.6","2.6","0","16.6","0","0"
"4","5","23","0","0","15.9","2.9","0","15.9","0","0"
"4","6","0","0","0","15.3","3.3","0","15.3","0","0"
"4","6","1","0","0","14.6","3.6","0","14.6","0","0"
"4","6","2","0","0","14.2","3.1","0","14.2","0","0"
"4","6","3","0","0","13.8","2.6","0","13.8","0","0"
"4","6","4","0","0","13.4","2.1","0","13.4","0","0"
"4","6","5","0","0","13.2","3.1","0","13.2","0","0"
"4","6","6","174","34","14.8","3.6","70.204","14.873","159.998","140.278"
"4","6","7","576","101","16.4","4.1","348.594","22.672","850.985","814.869"
"4","6","8","862","65","18.5","4.4","617.46","30.687","1520.443","1463.269"
"4","6","9","896","95","20.5","4.8","831.63","36.792","2019.301","1943.124"
"4","6","10","926","105","22.6","5.1","982.338","41.536","2336.507","2246.777"
"4","6","11","811","195","23.4","4.8","1028.509","44.144","2414.78","2321.53"
"4","6","12","694","264","24.2","4.4","987.955","45.155","2307.442","2219.001"
"4","6","13","571","303","25","4.1","859.932","43.758","2022.343","1946.042"
"4","6","14","435","288","24.8","4.8","656.443","38.086","1585.496","1526.004"
"4","6","15","318","217","24.7","5.5","420.563","32.32","1035.849","994.427"
"4","6","16","164","131","24.5","6.2","195.612","27.38","481.933","455.25"
"4","6","17","57","31","22.9","4.5","41.005","22.822","97.493","78.988"
